Data,xfilt,yfilt,xRaw,yRaw,pin0,pin1,pin2,pin3,pin4,
Data,161,-36,160,-37,0,0,0,0,0,

Data,163,-36,167,-37,0,0,0,0,0,

Data,166,-36,165,-37,0,0,0,0,0,

Data,168,-36,171,-37,0,0,0,0,0,

Data,171,-36,173,-37,0,0,0,0,0,

Data,176,-36,181,-37,0,0,0,0,0,

Data,181,-36,182,-37,0,0,0,0,0,

Data,185,-36,190,-37,0,0,0,0,0,

Data,189,-36,190,-37,0,0,0,0,0,

Data,192,-36,196,-37,0,0,0,0,0,

Data,194,-36,194,-37,0,0,0,0,0,

Data,196,-36,198,-37,0,0,0,0,0,

Data,197,-36,195,-37,0,0,0,0,0,

Data,198,-36,200,-37,0,0,0,0,0,

Data,199,-36,197,-37,0,0,0,0,0,

Data,200,-36,202,-37,0,0,0,0,0,

Data,201,-36,200,-37,0,0,0,0,0,

Data,201,-36,203,-37,0,0,0,0,0,

Data,201,-36,199,-37,0,0,0,0,0,

Data,201,-36,202,-37,0,0,0,0,0,

Data,201,-36,199,-37,0,0,0,0,0,

Data,201,-36,203,-37,0,0,0,0,0,

Data,202,-36,201,-37,0,0,0,0,0,

Data,203,-36,205,-37,0,0,0,0,0,

Data,203,-36,202,-37,0,0,0,0,0,

Data,203,-36,205,-37,0,0,0,0,0,

Data,202,-36,199,-37,0,0,0,0,0,

Data,201,-36,202,-37,0,0,0,0,0,

Data,200,-36,196,-37,0,0,0,0,0,

Data,199,-36,200,-37,0,0,0,0,0,

Data,198,-36,195,-37,0,0,0,0,0,

Data,197,-36,199,-37,0,0,0,0,0,

Data,196,-36,194,-37,0,0,0,0,0,

Data,196,-36,198,-37,0,0,0,0,0,

Data,196,-36,193,-37,0,0,0,0,0,

Data,195,-36,197,-37,0,0,0,0,0,

Data,195,-36,193,-37,0,0,0,0,0,

Data,196,-36,198,-37,0,0,0,0,0,

Data,196,-36,193,-37,0,0,0,0,0,

Data,196,-36,198,-37,0,0,0,0,0,

Data,196,-36,193,-37,0,0,0,0,0,

Data,195,-36,197,-37,0,0,0,0,0,

Data,194,-36,191,-37,0,0,0,0,0,

Data,192,-36,193,-37,0,0,0,0,0,

Data,190,-36,187,-37,0,0,0,0,0,

Data,189,-36,191,-37,0,0,0,0,0,

Data,189,-36,187,-37,0,0,0,0,0,

Data,190,-36,192,-37,0,0,0,0,0,

Data,190,-36,186,-37,0,0,0,0,0,

Data,188,-36,189,-37,0,0,0,0,0,

Data,186,-36,183,-37,0,0,0,0,0,

Data,185,-36,187,-37,0,0,0,0,0,

Data,184,-36,182,-37,0,0,0,0,0,

Data,184,-36,187,-37,0,0,0,0,0,

Data,185,-36,184,-37,0,0,0,0,0,

Data,186,-36,189,-37,0,0,0,0,0,

Data,187,-36,185,-37,0,0,0,0,0,

Data,187,-36,189,-37,0,0,0,0,0,

Data,186,-36,184,-37,0,0,0,0,0,

Data,186,-36,188,-37,0,0,0,0,0,

Data,186,-36,182,-37,0,0,0,0,0,

Data,185,-36,186,-37,0,0,0,0,0,

Data,185,-36,183,-37,0,0,0,0,0,

Data,186,-36,188,-37,0,0,0,0,0,

Data,186,-36,184,-37,0,0,0,0,0,

Data,185,-36,187,-37,0,0,0,0,0,

Data,184,-36,180,-37,0,0,0,0,0,

Data,183,-36,184,-37,0,0,0,0,0,

Data,181,-36,177,-37,0,0,0,0,0,

Data,180,-36,182,-37,0,0,0,0,0,

Data,180,-36,176,-37,0,0,0,0,0,

Data,179,-36,181,-37,0,0,0,0,0,

Data,178,-36,175,-37,0,0,0,0,0,

Data,178,-36,180,-37,0,0,0,0,0,

Data,178,-36,174,-37,0,0,0,0,0,

Data,177,-36,179,-37,0,0,0,0,0,

Data,176,-36,174,-37,0,0,0,0,0,

Data,176,-36,180,-37,0,0,0,0,0,

Data,177,-36,176,-37,0,0,0,0,0,

Data,178,-36,181,-37,0,0,0,0,0,

Data,179,-36,178,-37,0,0,0,0,0,

Data,180,-36,183,-37,0,0,0,0,0,

Data,180,-36,178,-37,0,0,0,0,0,

Data,180,-36,182,-37,0,0,0,0,0,

Data,180,-36,177,-37,0,0,0,0,0,

Data,180,-36,182,-37,0,0,0,0,0,

Data,180,-36,177,-37,0,0,0,0,0,

Data,180,-36,183,-37,0,0,0,0,0,

Data,180,-36,177,-37,0,0,0,0,0,

Data,180,-36,182,-37,0,0,0,0,0,

Data,180,-36,176,-37,0,0,0,0,0,

Data,179,-36,180,-37,0,0,0,0,0,

Data,178,-36,174,-37,0,0,0,0,0,

Data,177,-36,179,-37,0,0,0,0,0,

Data,177,-36,176,-37,0,0,0,0,0,

Data,178,-36,181,-37,0,0,0,0,0,

Data,178,-36,176,-36,0,0,0,0,0,

Data,178,-36,180,-37,0,0,0,0,0,

Data,177,-36,173,-37,0,0,0,0,0,

Data,175,-36,177,-37,0,0,0,0,0,

Data,174,-36,171,-37,0,0,0,0,0,

Data,174,-36,178,-37,0,0,0,0,0,

Data,174,-36,171,-37,0,0,0,0,0,

Data,174,-36,177,-37,0,0,0,0,0,

Data,175,-36,174,-37,0,0,0,0,0,

Data,176,-36,179,-37,0,0,0,0,0,

Data,177,-36,175,-37,0,0,0,0,0,

Data,178,-36,180,-37,0,0,0,0,0,

Data,178,-36,174,-37,0,0,0,0,0,

Data,177,-36,179,-37,0,0,0,0,0,

Data,176,-36,173,-37,0,0,0,0,0,

Data,176,-36,178,-37,0,0,0,0,0,

Data,176,-36,173,-37,0,0,0,0,0,

Data,176,-36,179,-37,0,0,0,0,0,

Data,176,-36,173,-37,0,0,0,0,0,

Data,175,-36,177,-37,0,0,0,0,0,

Data,174,-36,171,-37,0,0,0,0,0,

Data,174,-36,176,-37,0,0,0,0,0,

