Data,x,y,pin1,pin2,pin3,pin4,pin5,
Data,227,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,232,-37,0,0,0,0,0,

Data,232,-37,0,0,0,0,0,

Data,236,-37,0,0,0,0,0,

Data,234,-37,0,0,0,0,0,

Data,235,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,233,-37,0,0,0,0,0,

Data,233,-37,0,0,0,0,0,

Data,236,-37,0,0,0,0,0,

Data,234,-37,0,0,0,0,0,

Data,234,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,234,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,232,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,223,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,234,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,234,-37,0,0,0,0,0,

Data,233,-37,0,0,0,0,0,

Data,232,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,232,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,232,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,232,-37,0,0,0,0,0,

Data,233,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,233,-37,0,0,0,0,0,

Data,232,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,233,-37,0,0,0,0,0,

Data,233,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,228,-37,0,0,0,0,0,

Data,230,-37,0,0,0,0,0,

Data,231,-37,0,0,0,0,0,

Data,229,-37,0,0,0,0,0,

Data,227,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,223,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,223,-37,0,0,0,0,0,

Data,224,-37,0,0,0,0,0,

Data,223,-37,0,0,0,0,0,

Data,223,-37,0,0,0,0,0,

Data,222,-37,0,0,0,0,0,

Data,223,-37,0,0,0,0,0,

Data,223,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,225,-37,0,0,0,0,0,

Data,226,-37,0,0,0,0,0,

Data,222,-37,0,0,0,0,0,

Data,220,-37,0,0,0,0,0,

Data,215,-37,0,0,0,0,0,

Data,214,-37,0,0,0,0,0,

Data,211,-37,0,0,0,0,0,

Data,211,-37,0,0,0,0,0,

Data,208,-37,0,0,0,0,0,

