Data,x,y,b1,b2,b3,b4,b5,
Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-54,-36,0,0,0,0,0,

Data,-55,-36,0,0,0,0,0,

Data,-45,-36,0,0,0,0,0,

Data,-52,-36,0,0,0,0,0,

Data,-20,-36,0,0,0,0,0,

Data,-20,-36,0,0,0,0,0,

Data,11,-36,0,0,0,0,0,

Data,6,-36,0,0,0,0,0,

Data,33,-36,0,0,0,0,0,

Data,23,-36,0,0,0,0,0,

Data,45,-36,0,0,0,0,0,

Data,36,-36,0,0,0,0,0,

Data,58,-36,0,0,0,0,0,

Data,49,-36,0,0,0,0,0,

Data,75,-36,0,0,0,0,0,

Data,72,-36,0,0,0,0,0,

Data,103,-36,0,0,0,0,0,

Data,105,-36,0,0,0,0,0,

Data,136,-36,0,0,0,0,0,

Data,133,-36,0,0,0,0,0,

Data,158,-36,0,0,0,0,0,

Data,148,-36,0,0,0,0,0,

Data,165,-36,0,0,0,0,0,

Data,152,-36,0,0,0,0,0,

Data,172,-36,0,0,0,0,0,

Data,159,-36,0,0,0,0,0,

Data,177,-36,0,0,0,0,0,

Data,170,-36,0,0,0,0,0,

Data,192,-36,0,0,0,0,0,

Data,187,-36,0,0,0,0,0,

Data,208,-36,0,0,0,0,0,

Data,200,-36,0,0,0,0,0,

Data,223,-36,0,0,0,0,0,

Data,216,-36,0,0,0,0,0,

Data,238,-36,0,0,0,0,0,

Data,236,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,251,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

Data,256,-36,0,0,0,0,0,

